{'text': 'wait what you guys are crazy you guys', 'start': 0.0, 'duration': 5.12}
{'text': 'have lost your minds okay you guys have', 'start': 2.56, 'duration': 5.92}
{'text': 'actually lost your mind okay hold on', 'start': 5.12, 'duration': 5.36}
{'text': 'so this guy tweeted out some cringe', 'start': 8.48, 'duration': 3.44}
{'text': 'employers consider giving your black', 'start': 10.48, 'duration': 3.36}
{'text': 'employees a day or two off after the', 'start': 11.92, 'duration': 2.96}
{'text': 'written house verdict regardless of the', 'start': 13.84, 'duration': 1.999}
{'text': "outcome it's going to be hard for black", 'start': 14.88, 'duration': 2.0}
{'text': "people to work and it isn't fair to", 'start': 15.839, 'duration': 3.761}
{'text': 'expect them so andy noah tweeted this', 'start': 16.88, 'duration': 4.399}
{'text': "no i think is that everyone's name right", 'start': 19.6, 'duration': 3.759}
{'text': 'gregory mckelvey a portland racial', 'start': 21.279, 'duration': 3.441}
{'text': 'activist says employers should give back', 'start': 23.359, 'duration': 2.801}
{'text': 'employees time off after the rent house', 'start': 24.72, 'duration': 3.52}
{'text': 'product uh mckelvey was a rising', 'start': 26.16, 'duration': 3.119}
{'text': 'starting point until it was revealed he', 'start': 28.24, 'duration': 2.48}
{'text': 'was arrested on suspicion of kidnapping', 'start': 29.279, 'duration': 3.521}
{'text': 'and strangling underage girl okay wait', 'start': 30.72, 'duration': 4.08}
{'text': 'he was arrested on suspicion of was he', 'start': 32.8, 'duration': 4.08}
{'text': 'convicted', 'start': 34.8, 'duration': 3.68}
{'text': 'because if if there was no conviction', 'start': 36.88, 'duration': 2.72}
{'text': 'why the would you just bring up', 'start': 38.48, 'duration': 3.12}
{'text': "somebody's arrest", 'start': 39.6, 'duration': 3.76}
{'text': "why would that matter he's getting", 'start': 41.6, 'duration': 3.92}
{'text': 'convicted 100 percent oh is this like an', 'start': 43.36, 'duration': 5.28}
{'text': 'ongoing case or something', 'start': 45.52, 'duration': 4.96}
{'text': 'the andy know guy is', 'start': 48.64, 'duration': 3.439}
{'text': 'um', 'start': 50.48, 'duration': 3.84}
{'text': 'portland activist finds himself snared', 'start': 52.079, 'duration': 4.48}
{'text': 'in me too movement', 'start': 54.32, 'duration': 3.919}
{'text': 'a years old arrest has thrust a rising', 'start': 56.559, 'duration': 2.8}
{'text': 'star in pointless activist circles in', 'start': 58.239, 'duration': 3.12}
{'text': 'the middle of nowhere was jailed six', 'start': 59.359, 'duration': 3.121}
{'text': 'years ago', 'start': 61.359, 'duration': 3.12}
{'text': 'he was jailed six years ago on suspicion', 'start': 62.48, 'duration': 2.88}
{'text': 'of strangling and kidnapping an', 'start': 64.479, 'duration': 2.481}
{'text': 'ex-girlfriend was 18 year old student it', 'start': 65.36, 'duration': 2.48}
{'text': 'appears the case eventually was', 'start': 66.96, 'duration': 2.0}
{'text': 'dismissed but police court cards have', 'start': 67.84, 'duration': 2.88}
{'text': "been expunged it's not clear how it was", 'start': 68.96, 'duration': 3.76}
{'text': 'wait if they wait oh my god why are', 'start': 70.72, 'duration': 3.92}
{'text': 'progressives so [\xa0__\xa0] stupid whatever', 'start': 72.72, 'duration': 3.84}
{'text': 'i guess if you want to eat your own', 'start': 74.64, 'duration': 3.68}
{'text': 'bro especially if you believe that the', 'start': 76.56, 'duration': 3.28}
{'text': 'courts are like rigged against black', 'start': 78.32, 'duration': 2.479}
{'text': "people or if you believe they're", 'start': 79.84, 'duration': 2.08}
{'text': 'systemic you just blow up but even', 'start': 80.799, 'duration': 3.281}
{'text': 'ignoring all of that right if you got', 'start': 81.92, 'duration': 3.92}
{'text': 'arrested on something', 'start': 84.08, 'duration': 3.6}
{'text': 'but the case was completely dismissed', 'start': 85.84, 'duration': 3.12}
{'text': 'and there were no charges or no', 'start': 87.68, 'duration': 2.72}
{'text': 'conviction', 'start': 88.96, 'duration': 2.96}
{'text': 'he said that he never in my life had a', 'start': 90.4, 'duration': 2.88}
{'text': 'physical altercation with any woman he', 'start': 91.92, 'duration': 2.32}
{'text': 'said he was trying to intervene in a', 'start': 93.28, 'duration': 2.799}
{'text': 'fight', 'start': 94.24, 'duration': 3.36}
{'text': "i'm sorry that i have not addressed this", 'start': 96.079, 'duration': 3.281}
{'text': 'in more public terms', 'start': 97.6, 'duration': 2.879}
{'text': 'fellow activists were aware of the', 'start': 99.36, 'duration': 2.56}
{'text': 'allegations against mckelvey for more', 'start': 100.479, 'duration': 2.96}
{'text': 'than a year but questions intensified as', 'start': 101.92, 'duration': 2.72}
{'text': 'the metoo movement exploding cast a', 'start': 103.439, 'duration': 2.401}
{'text': 'harsh light on men in politics', 'start': 104.64, 'duration': 2.799}
{'text': 'entertainment and media', 'start': 105.84, 'duration': 2.8}
{'text': 'who have been accused of mistreating', 'start': 107.439, 'duration': 2.32}
{'text': 'them in the past in my opinion people', 'start': 108.64, 'duration': 2.72}
{'text': "don't know who they're working with what", 'start': 109.759, 'duration': 3.201}
{'text': "do you mean who you're working with he", 'start': 111.36, 'duration': 4.32}
{'text': "hit we don't hold men accountable the", 'start': 112.96, 'duration': 6.4}
{'text': 'charges were the charges were dropped', 'start': 115.68, 'duration': 6.399}
{'text': 'are you serious', 'start': 119.36, 'duration': 6.16}
{'text': 'he wow how like actually gross whatever', 'start': 122.079, 'duration': 5.36}
{'text': 'man', 'start': 125.52, 'duration': 4.959}
{'text': 'the underage thing', 'start': 127.439, 'duration': 4.001}
{'text': 'um', 'start': 130.479, 'duration': 3.681}
{'text': 'when he was 18. oh actually wait hold on', 'start': 131.44, 'duration': 4.24}
{'text': "yeah i'm sorry i'm not even thinking of", 'start': 134.16, 'duration': 3.68}
{'text': 'this', 'start': 135.68, 'duration': 4.24}
{'text': 'he was an 18 year old student so the', 'start': 137.84, 'duration': 4.399}
{'text': 'underage girl was like 17 right okay', 'start': 139.92, 'duration': 4.72}
{'text': "sure i'm sorry this even is", 'start': 142.239, 'duration': 4.561}
{'text': "this is actually wait what okay i don't", 'start': 144.64, 'duration': 3.12}
{'text': 'care', 'start': 146.8, 'duration': 3.2}
{'text': 'dude you guys are crazy you guys have', 'start': 147.76, 'duration': 4.64}
{'text': 'lost your minds okay you guys have', 'start': 150.0, 'duration': 4.879}
{'text': 'actually lost your [\xa0__\xa0] minds', 'start': 152.4, 'duration': 5.52}
{'text': 'suspicion of kidnapping and strangling', 'start': 154.879, 'duration': 6.321}
{'text': 'an underage girl', 'start': 157.92, 'duration': 3.28}
{'text': 'makes it yeah it makes it sound like he', 'start': 162.239, 'duration': 3.36}
{'text': 'was he kidnapped like a 12 year old or', 'start': 163.519, 'duration': 4.161}
{'text': 'like a six-year-old what the', 'start': 165.599, 'duration': 3.841}
{'text': 'what a [\xa0__\xa0] loser this guy is', 'start': 167.68, 'duration': 4.0}
{'text': 'unironically such a [\xa0__\xa0] loser does', 'start': 169.44, 'duration': 3.6}
{'text': 'anybody have a source that says that it', 'start': 171.68, 'duration': 2.96}
{'text': 'was actually a 17 year old girl that', 'start': 173.04, 'duration': 4.08}
{'text': "this was about um i don't want to just", 'start': 174.64, 'duration': 3.92}
{'text': "run with that if i can't find because i", 'start': 177.12, 'duration': 3.839}
{'text': 'see that he was 18 but andy knows a', 'start': 178.56, 'duration': 3.679}
{'text': "conservative or whatever yeah he is he's", 'start': 180.959, 'duration': 3.36}
{'text': 'crazy oh here right here a recent', 'start': 182.239, 'duration': 3.201}
{'text': 'graduate of south ridge high school in', 'start': 184.319, 'duration': 3.2}
{'text': 'beaverton uh mckelvey had just started', 'start': 185.44, 'duration': 3.2}
{'text': 'his freshman year', 'start': 187.519, 'duration': 3.521}
{'text': 'at osu the woman then 17 was still a', 'start': 188.64, 'duration': 4.959}
{'text': 'high school student in washington county', 'start': 191.04, 'duration': 4.8}
{'text': 'um according to a an article published', 'start': 193.599, 'duration': 3.36}
{'text': 'blah blah blah the oregon state police', 'start': 195.84, 'duration': 2.8}
{'text': 'early in the morning december 24 2011', 'start': 196.959, 'duration': 3.041}
{'text': 'responded to a report of a physical', 'start': 198.64, 'duration': 3.36}
{'text': 'altercation between mckenn mckelvey and', 'start': 200.0, 'duration': 4.239}
{'text': 'an ex-girlfriend at the oregon state uh', 'start': 202.0, 'duration': 4.64}
{'text': 'university residence hall', 'start': 204.239, 'duration': 4.321}
{'text': 'um in his statement mckelvey said his', 'start': 206.64, 'duration': 3.2}
{'text': 'ex-girlfriend was upset and had been', 'start': 208.56, 'duration': 2.8}
{'text': 'drinking when she arrived at his dorm on', 'start': 209.84, 'duration': 2.64}
{'text': 'the weekend before 18th birthday and', 'start': 211.36, 'duration': 2.4}
{'text': 'later became physical with another woman', 'start': 212.48, 'duration': 3.679}
{'text': 'there mckelvey said that he stepped in i', 'start': 213.76, 'duration': 3.36}
{'text': 'was not the target of any physical', 'start': 216.159, 'duration': 1.921}
{'text': 'altercation whether someone who', 'start': 217.12, 'duration': 2.479}
{'text': 'intervened behind someone else there was', 'start': 218.08, 'duration': 4.879}
{'text': 'never an allegation that i struck her', 'start': 219.599, 'duration': 3.36}
{'text': 'bro', 'start': 224.48, 'duration': 4.64}
{'text': "i'm [\xa0__\xa0] losing it oh my god my brain", 'start': 225.519, 'duration': 7.041}
{'text': 'is [\xa0__\xa0] i have an insult brain', 'start': 229.12, 'duration': 5.039}
{'text': 'i feel like um', 'start': 232.56, 'duration': 4.08}
{'text': 'i feel like the cops showed up and this', 'start': 234.159, 'duration': 5.601}
{'text': 'woman was drunk upset out of control and', 'start': 236.64, 'duration': 4.72}
{'text': 'she was like that [\xa0__\xa0] abducted', 'start': 239.76, 'duration': 2.72}
{'text': 'me', 'start': 241.36, 'duration': 3.439}
{'text': 'and they [\xa0__\xa0] arrested him on it oh', 'start': 242.48, 'duration': 4.0}
{'text': "dude that's what i feel that's the", 'start': 244.799, 'duration': 3.281}
{'text': "feeling that i'm getting that happened", 'start': 246.48, 'duration': 4.08}
{'text': "in this [\xa0__\xa0] situation it's like the", 'start': 248.08, 'duration': 4.0}
{'text': "chris rock skit where it's like never", 'start': 250.56, 'duration': 3.36}
{'text': 'drive with a mad woman and the cop pulls', 'start': 252.08, 'duration': 3.84}
{'text': "up she's like he got weed", 'start': 253.92, 'duration': 4.96}
{'text': 'cause a mad woman will say anything he', 'start': 255.92, 'duration': 4.719}
{'text': 'got weak he got wings', 'start': 258.88, 'duration': 3.84}
{'text': 'oh god my brain but that it sounds like', 'start': 260.639, 'duration': 4.161}
{'text': 'something akin to this happened right', 'start': 262.72, 'duration': 3.12}
{'text': 'where', 'start': 264.8, 'duration': 2.48}
{'text': "or i don't know how he gets i don't know", 'start': 265.84, 'duration': 3.6}
{'text': 'how he gets arrested like that well hold', 'start': 267.28, 'duration': 5.919}
{'text': 'on does it stay in here also accused', 'start': 269.44, 'duration': 3.759}
{'text': 'the police launched an investigation of', 'start': 275.12, 'duration': 2.799}
{'text': 'the german counter and arrested mckelvey', 'start': 276.32, 'duration': 3.28}
{'text': 'six days later now he was booked', 'start': 277.919, 'duration': 3.361}
{'text': 'september 30th on suspicion of', 'start': 279.6, 'duration': 3.28}
{'text': 'strangulation assault harassment first', 'start': 281.28, 'duration': 3.04}
{'text': 'free kidnapping a felony according to', 'start': 282.88, 'duration': 4.56}
{'text': 'regulation now he posted bail said 132', 'start': 284.32, 'duration': 5.04}
{'text': '500 the same day', 'start': 287.44, 'duration': 4.56}
{'text': 'additional documented details are few', 'start': 289.36, 'duration': 3.92}
{'text': "it says there's no public rights to the", 'start': 292.0, 'duration': 4.28}
{'text': 'encounter', 'start': 293.28, 'duration': 3.0}
{'text': 'the state police report is exempt from', 'start': 298.479, 'duration': 3.681}
{'text': "oregon's public record law", 'start': 300.0, 'duration': 5.039}
{'text': 'can you where is pisco can you do a foia', 'start': 302.16, 'duration': 5.28}
{'text': 'request of state documents or is that', 'start': 305.039, 'duration': 5.88}
{'text': 'only for federal', 'start': 307.44, 'duration': 3.479}
{'text': 'um destiny if you kidnap oh if you pick', 'start': 311.199, 'duration': 3.921}
{'text': 'okay matt tips is our resident are you', 'start': 313.44, 'duration': 3.199}
{'text': 'actually a swat person or just a normal', 'start': 315.12, 'duration': 2.799}
{'text': 'player i asked you this like 12 times', 'start': 316.639, 'duration': 2.4}
{'text': 'but i never look at your response in', 'start': 317.919, 'duration': 3.441}
{'text': 'chat um destiny if you pick someone up', 'start': 319.039, 'duration': 3.681}
{'text': 'and carry them against their will from', 'start': 321.36, 'duration': 2.8}
{'text': 'one room to another it is considered', 'start': 322.72, 'duration': 3.28}
{'text': "kidnapping an organ i'd put my money on", 'start': 324.16, 'duration': 3.039}
{'text': 'that happening since they mentioned', 'start': 326.0, 'duration': 3.919}
{'text': 'strangulation oh okay most states have a', 'start': 327.199, 'duration': 5.041}
{'text': 'formula okay but foia is federal okay', 'start': 329.919, 'duration': 3.681}
{'text': 'but there might be state things that are', 'start': 332.24, 'duration': 4.239}
{'text': 'similar gotcha', 'start': 333.6, 'duration': 2.879}
{'text': 'oh former riot cop we disbanded gotcha', 'start': 337.12, 'duration': 5.44}
{'text': "the woman didn't respond to multiple", 'start': 341.199, 'duration': 3.601}
{'text': 'requests for interview', 'start': 342.56, 'duration': 3.359}
{'text': "they're not naming her because she was a", 'start': 344.8, 'duration': 1.99}
{'text': 'minor at the time', 'start': 345.919, 'duration': 2.081}
{'text': '[Music]', 'start': 346.79, 'duration': 2.969}
{'text': 'the accusations discouraged us from', 'start': 348.0, 'duration': 3.28}
{'text': 'working appointments resistance heavily', 'start': 349.759, 'duration': 4.081}
{'text': 'none of us trusted greg dude damn these', 'start': 351.28, 'duration': 4.56}
{'text': 'people are crazy you guys are actually', 'start': 353.84, 'duration': 4.72}
{'text': 'insane [\xa0__\xa0] i hate alternative media i', 'start': 355.84, 'duration': 4.079}
{'text': 'talk about how much i [\xa0__\xa0] on the media', 'start': 358.56, 'duration': 2.479}
{'text': 'and have been recently especially with', 'start': 359.919, 'duration': 2.4}
{'text': 'this written stuff but alternative media', 'start': 361.039, 'duration': 5.921}
{'text': 'is so much worse oh my god oh but also', 'start': 362.319, 'duration': 7.041}
{'text': 'hold on let me say real quick though', 'start': 366.96, 'duration': 4.48}
{'text': 'let me say real quick okay because you', 'start': 369.36, 'duration': 4.959}
{'text': 'guys do this [\xa0__\xa0] okay', 'start': 371.44, 'duration': 5.44}
