{'text': 'is lanny in your chat', 'start': 0.199, 'duration': 4.681}
{'text': "lonnie's my girlfriend oh nice she's a", 'start': 2.96, 'duration': 3.76}
{'text': '[\xa0__\xa0] so like she even just did it to me', 'start': 4.88, 'duration': 4.719}
{'text': 'what i just said was that is transphobic', 'start': 6.72, 'duration': 5.2}
{'text': 'um sorry go ahead um what were we saying', 'start': 9.599, 'duration': 4.561}
{'text': "oh yeah the infrared guy he's like um", 'start': 11.92, 'duration': 4.4}
{'text': "he's a he's a character i think that if", 'start': 14.16, 'duration': 3.68}
{'text': 'you catch him being calm you can be calm', 'start': 16.32, 'duration': 3.039}
{'text': "but he's also somebody that will meme", 'start': 17.84, 'duration': 3.359}
{'text': 'and go big into the blood sports but but', 'start': 19.359, 'duration': 3.201}
{'text': 'he plays like a character so i would', 'start': 21.199, 'duration': 2.881}
{'text': "never i don't like to argue like that", 'start': 22.56, 'duration': 3.12}
{'text': 'with characters uh because then i feel', 'start': 24.08, 'duration': 2.88}
{'text': "stupid like i'm being sincere and", 'start': 25.68, 'duration': 3.16}
{'text': "they're just a character so yeah i don't", 'start': 26.96, 'duration': 3.6}
{'text': 'know', 'start': 28.84, 'duration': 2.679}
{'text': 'okay', 'start': 30.56, 'duration': 2.72}
{'text': "my girlfriend's off limits okay all", 'start': 31.519, 'duration': 3.761}
{'text': 'right um what tell her to stop talking', 'start': 33.28, 'duration': 3.84}
{'text': "at me then okay so i got but i can't", 'start': 35.28, 'duration': 3.52}
{'text': "control her wait i can't then you can't", 'start': 37.12, 'duration': 3.2}
{'text': 'control me talking about her what the', 'start': 38.8, 'duration': 2.56}
{'text': '[\xa0__\xa0]', 'start': 40.32, 'duration': 3.44}
{'text': "i can't listen i can't control women i", 'start': 41.36, 'duration': 3.679}
{'text': "don't have that power all right let's", 'start': 43.76, 'duration': 2.56}
{'text': 'start protecting them treat them like', 'start': 45.039, 'duration': 3.761}
{'text': 'equal people all right you say', 'start': 46.32, 'duration': 4.399}
{'text': 'equal rights equals means equal fights', 'start': 48.8, 'duration': 3.84}
{'text': 'okay um', 'start': 50.719, 'duration': 4.561}
{'text': 'no but seriously though i think i think', 'start': 52.64, 'duration': 4.72}
{'text': 'the reason why she did this is because', 'start': 55.28, 'duration': 4.799}
{'text': "i'm not a very um public person like", 'start': 57.36, 'duration': 5.28}
{'text': 'with my personal life i try not to make', 'start': 60.079, 'duration': 3.841}
{'text': 'most of my', 'start': 62.64, 'duration': 3.44}
{'text': 'um like private life public you know', 'start': 63.92, 'duration': 3.68}
{'text': 'generally just not a good idea like the', 'start': 66.08, 'duration': 4.16}
{'text': "internet's kind of rough it's not good", 'start': 67.6, 'duration': 5.36}
{'text': 'to do and so uh i think she just saw', 'start': 70.24, 'duration': 5.28}
{'text': 'this as an opportunity to', 'start': 72.96, 'duration': 4.799}
