{'text': "there are rules of conversation if i'm", 'start': 0.16, 'duration': 5.04}
{'text': 'asking you a question about a particular', 'start': 3.12, 'duration': 2.8}
{'text': 'person', 'start': 5.2, 'duration': 2.8}
{'text': 'and you are answering in certain ways', 'start': 5.92, 'duration': 3.84}
{'text': 'this is a senior detective and she looks', 'start': 8.0, 'duration': 3.12}
{'text': "like she's standing in front of a moving", 'start': 9.76, 'duration': 3.6}
{'text': 'train like look at how afraid she is', 'start': 11.12, 'duration': 6.8}
{'text': 'what is happening', 'start': 13.36, 'duration': 4.56}
{'text': 'i disagree i think that a lot of the', 'start': 18.56, 'duration': 2.96}
{'text': "times when you're trying to evaluate if", 'start': 20.32, 'duration': 2.719}
{'text': "somebody doesn't know something or is", 'start': 21.52, 'duration': 1.919}
{'text': 'being', 'start': 23.039, 'duration': 1.921}
{'text': 'not truthful the most immediate thing', 'start': 23.439, 'duration': 2.401}
{'text': 'you look at is well what do they say', 'start': 24.96, 'duration': 1.68}
{'text': 'what do they lie about', 'start': 25.84, 'duration': 2.96}
{'text': 'oftentimes if you take like one step', 'start': 26.64, 'duration': 3.84}
{'text': 'back and you instead try to think of', 'start': 28.8, 'duration': 2.96}
{'text': "what didn't they say", 'start': 30.48, 'duration': 4.96}
{'text': 'or 29 year old nurse', 'start': 31.76, 'duration': 5.84}
{'text': 'sherry rasmussen was found by her', 'start': 35.44, 'duration': 3.92}
{'text': 'husband lying dead on the living room', 'start': 37.6, 'duration': 2.24}
{'text': 'floor', 'start': 39.36, 'duration': 2.08}
{'text': 'her face was severely beaten and', 'start': 39.84, 'duration': 3.039}
{'text': 'disfigured to the point that she was', 'start': 41.44, 'duration': 2.56}
{'text': 'unrecognizable', 'start': 42.879, 'duration': 3.2}
{'text': "most of sherry's injuries were inflicted", 'start': 44.0, 'duration': 4.239}
{'text': 'upon her after she was killed which was', 'start': 46.079, 'duration': 3.601}
{'text': 'concluded due to the lack of', 'start': 48.239, 'duration': 3.041}
{'text': 'hemorrhaging and inflammation of the', 'start': 49.68, 'duration': 2.24}
{'text': 'injuries', 'start': 51.28, 'duration': 2.4}
{'text': "this included most of the victim's", 'start': 51.92, 'duration': 4.0}
{'text': 'facial injuries and even a bite mark on', 'start': 53.68, 'duration': 4.719}
{'text': 'her left forearm the homicide detectives', 'start': 55.92, 'duration': 3.68}
{'text': 'assigned to the case', 'start': 58.399, 'duration': 3.201}
{'text': "immediately associated sherry's murder", 'start': 59.6, 'duration': 3.52}
{'text': 'with multiple break-ins that had', 'start': 61.6, 'duration': 3.519}
{'text': 'occurred that same night on the same', 'start': 63.12, 'duration': 2.48}
{'text': 'street', 'start': 65.119, 'duration': 2.401}
